# Founding year of the *current constitutional order* of major powers and core institutions
# (not the founding of the nation). "Rupture" is defined in the md (Part IV, F1): dissolution
# of the union/state, wholesale replacement of the constitutional order, or for treaty
# organizations, formal dissolution or exit/expulsion of a founding-scale member.
# Founding dates: standard reference chronology (see Reproducibility, section 24).
name,founded,kind
United Kingdom (Union of 1707),1707,state
United States (Constitution of 1789),1789,state
Saudi Arabia (unification 1932),1932,state
United Nations (Charter 1945),1945,institution
Japan (post-war constitution 1947),1947,state
Pakistan (independence 1947),1947,state
North Korea (DPRK 1948),1948,state
People's Republic of China (1949),1949,state
NATO (Washington Treaty 1949),1949,institution
Federal Republic of Germany (Basic Law 1949),1949,state
India (Constitution 1950),1950,state
European Union (Treaty of Rome 1957),1957,institution
France (Fifth Republic 1958),1958,state
Islamic Republic of Iran (1979),1979,state
Russian Federation (Constitution 1993),1993,state
